id,name,name_scientific,food_frequency
751,Junket,NA,1
752,Falafel,NA,1
753,Frybread,NA,1
754,Other frozen dessert,NA,1
755,Lasagna,NA,1
756,Morchella (Morel),Morchellaceae,1
757,Pancake,NA,1
758,Pectin,NA,1
759,Pudding,NA,1
760,Waffle,NA,1
761,Soy milk,NA,1
762,Meatloaf,NA,1
763,Sake,NA,1
764,Cocktail,NA,1
765,Couscous,NA,1
766,Bulgur,NA,1
767,Coffee substitute,NA,1
768,Coffee mocha,NA,1
769,Chimichanga,NA,1
770,Semolina,NA,1
771,Tapioca pearl,NA,1
772,Tostada,NA,1
773,Quesadilla,NA,1
774,Baked potato,NA,1
775,Hot dog,NA,1
776,Spread,NA,1
777,Enchilada,NA,1
778,Egg substitute,NA,1
779,Nutritional drink,NA,1
780,Other sandwich,NA,1
781,Ketchup,NA,1
782,Breakfast sandwich,NA,1
783,Adobo,NA,1
784,Macaroni and cheese,NA,1
785,Butterfat,NA,1
786,Horned melon,Cucumis metuliferus,1
787,Hushpuppy,NA,1
788,Fruit juice,NA,1
789,Relish,NA,1
790,Other fruit product,NA,1
791,Fruit salad,NA,1
792,Soy yogurt,NA,1
793,Vegetarian food,NA,1
794,Veggie burger,NA,1
795,Cold cut,NA,1
796,Mixed nuts,NA,1
797,Canola,NA,1
798,Babassu palm,Attalea speciosa,1
799,Cupuaçu,Theobroma grandiflorum,1
800,Shea tree,Vitellaria paradoxa,1
801,Oil-seed Camellia,Camellia oleifera,1
802,Ucuhuba,Virola surinamensis,1
803,Phyllo dough,NA,1
804,Cooking oil,NA,1
805,Pie crust,NA,1
806,Pie filling,NA,1
807,Pie,NA,1
808,Shortening,NA,1
809,Soy cream,NA,1
810,Ice cream cone,NA,1
811,Molasses,NA,1
812,Cracker,NA,1
813,Nance,Byrsonima crassifolia,1
814,Naranjilla,Solanum quitoense,1
815,Natto,NA,1
816,Ravioli,NA,1
817,Scrapple,NA,1
818,Other pasta dish,NA,1
819,Succotash,NA,1
820,Tamale,NA,1
822,Rice cake,NA,1
823,Tree fern,Cyathea,1
824,Evaporated milk,NA,1
825,Flour,NA,1
826,Akutaq,NA,1
828,Dough,NA,1
829,Pita bread,NA,1
830,Focaccia,NA,1
831,Bagel,NA,1
832,Other bread product,NA,1
834,Piki bread,NA,1
835,French toast,NA,1
836,Wheat bread,NA,1
837,Rye bread,NA,1
838,Oat bread,NA,1
839,Potato bread,NA,1
840,Cornbread,NA,1
841,Corn grits,NA,1
842,Multigrain bread,NA,1
843,Rice bread,NA,1
844,Pan dulce,NA,1
845,Raisin bread,NA,1
846,Wonton wrapper,NA,1
848,Trail mix,NA,1
849,Greenthread tea,Thelesperma,1
850,Fruit-flavor drink,NA,1
851,Vegetable juice,NA,1
852,Horchata,NA,1
853,Soft drink,NA,1
854,Frozen yogurt,NA,1
855,Milkshake,NA,1
856,Chocolate mousse,NA,1
857,Dripping,NA,1
858,Pupusa,NA,1
859,Empanada,NA,1
860,Arepa,NA,1
861,Ascidians,Ascidiacea,1
862,Gefilte fish,NA,1
863,Yellow pond-lily,Nuphar lutea,1
864,Fish burger,NA,1
865,Other dish,NA,1
866,Pot pie,NA,1
867,Stuffing,NA,1
868,Edible shell,NA,1
869,Fudge,NA,1
870,Candy bar,NA,1
871,Condensed milk,NA,1
872,Margarine,NA,1
873,Margarine-like spread,NA,1
874,Hummus,NA,1
876,Potato puffs,NA,1
877,Potato gratin,NA,1
878,Milk substitute,NA,1
879,Pepper (C. pubescens),Capsicum pubescens,1
880,Soft-necked garlic,Allium sativum L. var. sativum,1
881,Cabbage,Brassica oleracea var. capitata,1
882,Chinese bayberry,Myrica rubra,1
883,Mushrooms,NA,1
884,Alcoholic beverages,NA,1
885,Onion-family vegetables,NA,1
886,Pomes,NA,1
887,Brassicas,NA,1
888,Cereals and cereal products,NA,1
889,Citrus,NA,1
890,Cocoa and cocoa products,NA,1
891,Coffee and coffee products,NA,1
892,Crustaceans,NA,1
893,Milk and milk products,NA,1
894,Fats and oils,NA,1
896,Fishes,NA,1
897,Herbs and Spices,NA,1
898,Pulses,NA,1
900,Mollusks,NA,1
901,Nuts,NA,1
902,Beverages,NA,1
903,Fruits,NA,1
904,Green vegetables,NA,1
905,Root vegetables,NA,1
906,Sunburst squash (pattypan squash),Cucurbita pepo var. clypeata,1
907,Green zucchini,Cucurbita pepo var. cylindrica,1
908,Yellow zucchini,Cucurbita pepo var. cylindrica,1
909,Green bell pepper,Capsicum annuum,1
910,Yellow bell pepper,Capsicum annuum,1
911,Orange bell pepper,Capsicum annuum,1
912,Red bell pepper,Capsicum annuum,1
913,Italian sweet red pepper,Capsicum annuum,1
914,Yellow wax bean,Phaseolus vulgaris,1
915,Green bean,Phaseolus vulgaris,1
916,Saskatoon berry,Amelanchier alnifolia,1
917,Nanking cherry,Prunus tomentosa,1
918,Japanese pumpkin,Cucurbita maxima,1
919,White cabbage,Brassica oleracea L. var. capitata L. f. alba DC.,1
920,Romaine lettuce,Lactuca sativa L. var. longifolia,1
921,"Cow milk, pasteurized, vitamin A + D added, 0% fat",NA,1
922,"Cow milk, pasteurized, vitamin A + D added, 1% fat",NA,1
923,"Cow milk, pasteurized, vitamin A + D added, 2% fat",NA,1
924,"Cow milk, pasteurized, vitamin D added, 3.25% fat",NA,1
925,Castanospermum australe,Castanospermum australe,1
926,Gentiana lutea,Gentiana lutea,1
927,Juniperus communis,Juniperus communis,1
928,Albizia gummifera,Albizia gummifera,1
929,Mundu,Garcinia dulcis,1
930,Rabbiteye blueberry,Vaccinium virgatum,1
931,Yali pear,Pyrus × bretschneideri,1
932,Asparagus racemosus,Asparagus racemosus,1
933,Evergreen blackberry,Rubus laciniatus,1
934,Asparagus fern,Asparagus setaceus,1
935,Thornless blackberry,Rubus ulmifolius,1
936,Tropical highland blackberry,Rubus adenotrichos,1
937,Andean blackberry,Rubus glaucus,1
938,Blackberry,Rubus,1
939,Black tea,NA,1
940,Green tea,NA,1
941,Olive oil,NA,1
942,Macroalgae,NA,1
943,Red wine,NA,1
944,linseed oil,NA,1
945,Rapeseed oil,NA,1
946,Soybean oil,NA,1
947,Guarana,Paullinia cupana,1
948,Mate,Ilex paraguariensis,1
949,White wine,NA,1
950,Sour orange,Citrus × aurantium,1
951,Egg yolk,NA,1
952,Rosé wine,NA,1
953,White mulberry,Morus alba,1
954,Canola oil,NA,1
955,Dessert wine,NA,1
956,Red champagne,NA,1
957,Red tea,NA,1
958,White champagne,NA,1
959,Red grape juice,NA,1
960,White grape juice,NA,1
961,Crosne,Stachys affinis,1
962,Red clover,Trifolium pratense,1
963,Partridge berry,Mitchella repens,1
964,Mikan,Citrus unshiu,1
965,Mozzarella cheese,NA,1
966,Plain cream cheese,NA,1
967,Cheddar Cheese,Cheddar Cheese,1
968,Parmesan cheese,NA,1
969,Almond milk,NA,1
970,Coconut milk,NA,1
971,Salted butter,NA,1
972,Sunflower oil,NA,1
973,Coconut oil,NA,1
974,Peanut oil,NA,1
975,Cottonseed oil,NA,1
976,Corn oil,NA,1
977,Avocado oil,NA,1
978,Grapeseed oil,NA,1
979,Sesame oil,NA,1
980,Monterey Jack cheese,NA,1
981,Swiss cheese,NA,1
982,Cottage cheese,NA,1
983,Blue cheese,NA,1
984,Clam,NA,1
985,Sour cream,NA,1
986,Whole wheat bread,NA,1
987,Jalapeno pepper,Capsicum annuum 'Jalapeño',1
988,Greek feta cheese,NA,1
989,Eddoe,Colocasia antiquorum,1
990,Plantain,Musa × paradisiaca,1
991,Clementine,Citrus × clementina,1
992,Green apple,NA,1
993,White onion,NA,1
994,Red onion,NA,1
995,Green onion,NA,1
996,Green grape,NA,1
997,Red grape,NA,1
998,Black plum,Syzygium cumini,1
999,Green cabbage,Brassica oleracea var. sabauda L.,1
1000,Black raisin,NA,1
1001,Cannellini bean,NA,1
1002,Green lentil,Lens culinaris,1
1003,Cubanelle pepper,NA,1
1004,Acorn squash,Cucurbita pepo var. turbinata,1
1005,Iceberg lettuce,NA,1
1006,Japanese sea bass,Lateolabrax japonicus,1
1007,Pea shoots,NA,1
1008,Yau choy,NA,1
1009,Water spinach,Ipomoea aquatica,1
1010,Chineese plum,NA,1
1011,Green plum,NA,1
1012,Wampee,Clausena lansium,1
1013,Pitaya,Hylocereus undatus,1
1014,Goji,NA,1
1015,Monk fruit,Siraitia grosvenorii,1
1016,Cantaloupe melon,Cucumis melo var. cantalupensis,1
1017,Hawthorn,Crataegus,1
1018,Lantern fruit,Physalis alkekengi,1
1019,White bread,NA,1
1020,Cape gooseberry,Physalis peruviana,1
1021,Herbal tea,NA,1
1022,Fish oil,NA,1
1023,Taco shell,NA,1
1024,Tostada shell,NA,1
